DIAS,TRÊS MARIAS,BSM,FORTALEZA,JATOBÁ,ACARÁ DO TAPAJÓS,BUBURÉ,BELA VISTA
1984-12-01,625.0441458119392,516.1612903225806,457.8445265216064,516.1612903225806,523.0787860144334,574.470518121622,624.7299626669084
1985-01-01,879.0484469008499,735.1935483870968,605.4064709394314,735.1935483870968,716.8433904713951,709.5471486455069,888.0265641227539
1985-02-01,1065.7373329341913,896.1785714285714,713.8620164013756,896.1785714285714,859.2571134031934,808.8261985416519,1081.545134522673
1985-03-01,1046.6763221850042,879.741935483871,702.788661357145,879.741935483871,844.7166147087506,798.6897674050839,1061.7868102381658
1985-04-01,1077.0721990287236,905.2333333333333,719.9103086754609,905.2333333333333,867.2443451921505,814.3912701370247,1092.4094422606138
1985-05-01,939.7096774193549,776.1612903225806,632.1883525011324,776.1612903225806,752.7230102679414,734.5127133085698,936.9529407174526
1985-06-01,660.7333333333333,509.8333333333333,465.4940406056739,509.8333333333333,541.6324374623447,590.2839125710692,638.2853886735314
1985-07-01,547.4516129032259,416.4193548387097,405.258064516129,416.4193548387097,463.2798412893902,536.1770942282678,529.7510568881697
1985-08-01,480.64516129032256,355.2903225806452,343.80645161290323,355.2903225806452,374.33085750797,469.9947296489865,425.697058148465
1985-09-01,457.26666666666665,336.8333333333333,334.56666666666666,336.8333333333333,363.39222803214926,463.01470583490504,408.2349622052753
1985-10-01,474.9032258064516,371.51612903225805,355.96774193548384,371.51612903225805,388.8441557703395,480.13761712867,445.34748953642855
1985-11-01,571.7333333333333,448.26666666666665,405.03333333333336,448.26666666666665,452.7836682669959,524.2353461087783,534.1377585673588
1985-12-01,657.1290322580645,518.1290322580645,446.3225806451613,518.1290322580645,504.90641920506135,559.4113476078608,609.6313924492887
1986-01-01,950.258064516129,793.6129032258065,624.258064516129,793.6129032258065,733.1910142297166,716.7138886677055,927.2768881286149
1986-02-01,1056.5357142857142,889.0714285714286,707.75,889.0714285714286,850.5933720719023,802.5023876957891,1070.918592536856
1986-03-01,1038.258064516129,863.1290322580645,706.2258064516129,863.1290322580645,856.2993751938869,809.9065858631774,1064.8516557980392
1986-04-01,982.4,816.1666666666666,687.0666666666667,816.1666666666666,836.3146296466206,798.5555330002517,1027.2995733796308
1986-05-01,828.8387096774194,668.3225806451613,584.741935483871,668.3225806451613,702.2381676179925,704.6904292021007,846.6911203737477
1986-06-01,633.7,499.3333333333333,455.6666666666667,499.3333333333333,526.3659250378045,578.9297873947091,620.4265622922366
1986-07-01,524.7741935483871,400.0,378.38709677419354,400.0,421.0065671851584,503.38773311224094,485.6890328916287
1986-08-01,477.80645161290323,357.03225806451616,347.80645161290323,357.03225806451616,380.3893629218472,474.7601295262064,431.7524719047791
1986-09-01,477.3333333333333,359.8333333333333,351.53333333333336,359.8333333333333,385.76287406700163,478.8535994860066,437.65891109304323
1986-10-01,551.3225806451613,409.16129032258067,385.61290322580646,409.16129032258067,432.2229576169593,511.5751892818149,499.42600837524213
1986-11-01,596.1,444.06666666666666,407.46666666666664,444.06666666666666,460.56136210707615,531.0252465153368,539.1574693603709
1986-12-01,667.8709677419355,519.7741935483871,449.8709677419355,519.7741935483871,511.3103944263846,564.4656300744784,615.9450994239115
1987-01-01,829.8387096774194,658.8064516129032,540.0645161290323,658.8064516129032,628.3326930121099,645.3290682281784,777.8396818592155
1987-02-01,928.0714285714286,761.7857142857143,612.6071428571429,761.7857142857143,723.2241861283368,711.9388574944576,904.9593798575745
1987-03-01,989.8064516129032,815.4516129032259,659.5806451612904,815.4516129032259,789.447590567685,760.3482623725698,985.9065793771264
1987-04-01,911.3333333333334,749.8666666666667,622.9333333333333,749.8666666666667,744.3236987301412,730.4355341949355,918.3726497075685
1987-05-01,739.1935483870968,587.0,505.3225806451613,587.0,587.894098047516,619.9032489284126,711.7603925490841
1987-06-01,582.3333333333334,447.03333333333336,413.06666666666666,447.03333333333336,468.05512854540444,536.836490624968,546.9964994599522
1987-07-01,485.80645161290323,359.61290322580646,356.6774193548387,359.61290322580646,394.6327201712154,486.12220551440083,445.3410112661331
1987-08-01,438.80645161290323,320.8709677419355,327.6774193548387,320.8709677419355,346.51612903225805,450.9507729647109,386.6596323076924
1987-09-01,426.7,308.53333333333336,320.0,308.53333333333336,330.43333333333334,439.14077354312735,367.3164393994291
1987-10-01,427.35483870967744,309.5806451612903,321.06451612903226,309.5806451612903,335.35483870967744,443.0389258298944,372.0675912072031
1987-11-01,507.26666666666665,386.9,363.76666666666665,386.9,385.43333333333334,475.76330585397716,448.9571208057421
1987-12-01,710.8709677419355,546.8709677419355,459.1290322580645,546.8709677419355,511.258064516129,561.581050763566,627.4829321401447
1988-01-01,880.7741935483871,711.2258064516129,568.5806451612904,711.2258064516129,655.1290322580645,661.6913858614732,823.7144107450306
1988-02-01,966.1724137931035,791.3793103448276,625.3103448275862,791.3793103448276,739.1379310344828,721.7965989676627,931.5270991472398
1988-03-01,1138.0645161290322,950.4516129032259,753.9354838709677,950.4516129032259,893.3548387096774,830.9953453755489,1134.6478036112353
1988-04-01,1078.3666666666666,899.3333333333334,723.7333333333333,899.3333333333334,855.3333333333334,805.3520694564219,1079.511132523265
1988-05-01,884.4516129032259,726.9354838709677,604.258064516129,726.9354838709677,718.1290322580645,711.4685972669429,885.6282206722155
1988-06-01,677.8666666666667,537.3,466.8333333333333,537.3,560.0333333333333,602.3288733336143,666.0618183198991
1988-07-01,537.7741935483871,412.93548387096774,382.1290322580645,412.93548387096774,433.0967741935484,511.86362153216334,501.77817676552985
1988-08-01,473.96774193548384,350.51612903225805,341.93548387096774,350.51612903225805,370.0,466.9706126555834,419.8711555431637
1988-09-01,437.3666666666667,325.26666666666665,327.2,325.26666666666665,345.5,449.65198505237754,387.64074246778904
1988-10-01,462.2903225806452,344.4193548387097,343.4193548387097,344.4193548387097,372.19354838709677,469.4146043750081,419.199744802429
1988-11-01,544.0333333333333,416.8333333333333,385.1,416.8333333333333,431.26666666666665,509.9750048433142,501.8540236468855
1988-12-01,760.516129032258,594.5806451612904,496.61290322580646,594.5806451612904,587.3870967741935,618.6326143835884,714.4996421917217
